Method;File;Num Communities;Modularity;Jaccard Index;Normalized Mutual Information;Normalized Variation of Information
Louvain;synthetic_network_N_300_blocks_5_prr_0.92_prs_0.02.net;5;0,7172030309386264;1,0;1,0;0,0
InfoMap;synthetic_network_N_300_blocks_5_prr_0.92_prs_0.02.net;5;0,7172030309386264;1,0;1,0;0,0
Agglomerative;synthetic_network_N_300_blocks_5_prr_0.94_prs_0.02.net;5;0,7186900097403868;1,0;1,0;0,0
Louvain;synthetic_network_N_300_blocks_5_prr_0.94_prs_0.02.net;5;0,7186900097403868;1,0;1,0;0,0
InfoMap;synthetic_network_N_300_blocks_5_prr_0.94_prs_0.02.net;5;0,7186900097403868;1,0;1,0;0,0
Agglomerative;synthetic_network_N_300_blocks_5_prr_0.96_prs_0.02.net;5;0,7202075020518273;1,0;1,0;0,0
Louvain;synthetic_network_N_300_blocks_5_prr_0.96_prs_0.02.net;5;0,7202075020518273;1,0;1,0;0,0
InfoMap;synthetic_network_N_300_blocks_5_prr_0.96_prs_0.02.net;5;0,7202075020518273;1,0;1,0;0,0
Agglomerative;synthetic_network_N_300_blocks_5_prr_0.98_prs_0.02.net;5;0,721772648877696;1,0;1,0;0,0
Louvain;synthetic_network_N_300_blocks_5_prr_0.98_prs_0.02.net;5;0,721772648877696;1,0;1,0;0,0
InfoMap;synthetic_network_N_300_blocks_5_prr_0.98_prs_0.02.net;5;0,721772648877696;1,0;1,0;0,0
Agglomerative;synthetic_network_N_300_blocks_5_prr_1.00_prs_0.02.net;5;0,7239913469306816;1,0;1,0;0,0
Louvain;synthetic_network_N_300_blocks_5_prr_1.00_prs_0.02.net;5;0,7239913469306816;1,0;1,0;0,0
InfoMap;synthetic_network_N_300_blocks_5_prr_1.00_prs_0.02.net;5;0,7239913469306816;1,0;1,0;0,0
